id,exc_numb,req_id,school_type,points,req_year,exam_year,exam_type
138,17,6.4,high,1.0,2023,2024,additional
139,18,6.6,high,1.0,2023,2024,additional
140,19,7.2,high,1.0,2023,2024,additional
141,20,7.4,high,1.0,2023,2024,additional
142,21,8.5,high,1.0,2023,2024,additional
143,22,8.8,high,2.0,2023,2024,additional
144,23.1,9.4,high,1.0,2023,2024,additional
145,23.2,9.6,high,1.0,2023,2024,additional
146,24,9.1,high,1.33,2023,2024,additional
147,24,9.2,high,1.33,2023,2024,additional
148,24,9.3,high,1.33,2023,2024,additional
149,25,11.1,high,1.0,2023,2024,additional
150,26,10.4,high,1.0,2023,2024,additional
151,27,10.4,high,1.0,2023,2024,additional
152,28,12.2,high,1.0,2023,2024,additional
153,29,11.2,high,1.0,2023,2024,additional
154,30,12.1,high,1.0,2023,2024,additional
155,31,12.1,high,2.0,2023,2024,additional
156,32,13,high,2.0,2023,2024,additional
157,1,1.7,high,1.0,2023,2024,make-up
158,2,1.1,high,1.0,2023,2024,make-up
159,3,1.2,high,2.0,2023,2024,make-up
160,4,1.1,high,1.0,2023,2024,make-up
161,4,1.9,high,1.0,2023,2024,make-up
162,5,3.3,high,1.0,2023,2024,make-up
163,6,3.6,high,1.0,2023,2024,make-up
164,7,3.5,high,3.0,2023,2024,make-up
165,8,4.1,high,1.0,2023,2024,make-up
166,9,5.3,high,2.0,2023,2024,make-up
167,10,5.5,high,0.5,2023,2024,make-up
168,10,5.11,high,0.5,2023,2024,make-up
169,11.1,5.1,high,0.33,2023,2024,make-up
170,11.1,5.3,high,0.33,2023,2024,make-up
171,11.1,5.11,high,0.33,2023,2024,make-up
172,11.2,5.1,high,0.33,2023,2024,make-up
173,11.2,5.3,high,0.33,2023,2024,make-up
174,11.2,5.11,high,0.33,2023,2024,make-up
175,11.3,5.1,high,0.5,2023,2024,make-up
176,11.3,5.6,high,0.5,2023,2024,make-up
177,12.1,5.4,high,1.0,2023,2024,make-up
178,12.2,5.11,high,1.0,2023,2024,make-up
179,12.3,5.9,high,1.0,2023,2024,make-up
180,13,6.1,high,0.5,2023,2024,make-up
181,13,6.4,high,0.5,2023,2024,make-up
182,14,6.5,high,1.0,2023,2024,make-up
183,15,6.2,high,0.5,2023,2024,make-up
184,15,6.6,high,0.5,2023,2024,make-up
185,16,7.2,high,1.0,2023,2024,make-up
186,17,7.4,high,1.0,2023,2024,make-up
187,18,7.4,high,1.0,2023,2024,make-up
188,19,8.5,high,1.0,2023,2024,make-up
189,20,8.8,high,2.0,2023,2024,make-up
190,21,9.1,high,2.0,2023,2024,make-up
191,21,9.2,high,2.0,2023,2024,make-up
192,22,9.2,high,1.0,2023,2024,make-up
193,23,9.4,high,1.0,2023,2024,make-up
194,24,11.1,high,1.0,2023,2024,make-up
195,25,10.4,high,1.0,2023,2024,make-up
196,26,10.3,high,0.5,2023,2024,make-up
197,26,8.11,high,0.5,2023,2024,make-up
198,27,11.1,high,1.0,2023,2024,make-up
199,28,12.2,high,1.0,2023,2024,make-up
200,29,12.1,high,2.0,2023,2024,make-up
201,30,13,high,3.0,2023,2024,make-up
